LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,LaborForce,Employed,Unemployed,Unemployment rate (%)
CN4809700000000,48,97,"Cooke County, TX",2004,"19,337","18,382",955,4.9
CN4809900000000,48,99,"Coryell County, TX",2004,"24,887","23,302","1,585",6.4
CN4810100000000,48,101,"Cottle County, TX",2004,910,860,50,5.5
CN4810300000000,48,103,"Crane County, TX",2004,"1,586","1,491",95,6
CN4810500000000,48,105,"Crockett County, TX",2004,"2,090","2,011",79,3.8
CN4810700000000,48,107,"Crosby County, TX",2004,"2,914","2,741",173,5.9
CN4810900000000,48,109,"Culberson County, TX",2004,"1,545","1,464",81,5.2
CN4811100000000,48,111,"Dallam County, TX",2004,"3,272","3,148",124,3.8
CN4811300000000,48,113,"Dallas County, TX",2004,"1,147,253","1,072,514","74,739",6.5
CN4811500000000,48,115,"Dawson County, TX",2004,"5,497","5,110",387,7
CN4811700000000,48,117,"Deaf Smith County, TX",2004,"8,064","7,643",421,5.2
CN4811900000000,48,119,"Delta County, TX",2004,"2,474","2,302",172,7
CN4812100000000,48,121,"Denton County, TX",2004,"300,921","287,278","13,643",4.5
CN4812300000000,48,123,"DeWitt County, TX",2004,"9,375","8,861",514,5.5
CN4812500000000,48,125,"Dickens County, TX",2004,"1,142","1,073",69,6
CN4812700000000,48,127,"Dimmit County, TX",2004,"3,991","3,636",355,8.9
CN4812900000000,48,129,"Donley County, TX",2004,"1,932","1,826",106,5.5
CN4813100000000,48,131,"Duval County, TX",2004,"5,273","4,914",359,6.8
CN4813300000000,48,133,"Eastland County, TX",2004,"8,554","8,074",480,5.6
CN4813500000000,48,135,"Ector County, TX",2004,"61,296","57,801","3,495",5.7
CN4813700000000,48,137,"Edwards County, TX",2004,"1,105","1,060",45,4.1
CN4813900000000,48,139,"Ellis County, TX",2004,"64,162","60,563","3,599",5.6
CN4814100000000,48,141,"El Paso County, TX",2004,"288,551","266,962","21,589",7.5
CN4814300000000,48,143,"Erath County, TX",2004,"17,529","16,753",776,4.4
CN4814500000000,48,145,"Falls County, TX",2004,"7,526","7,062",464,6.2
CN4814700000000,48,147,"Fannin County, TX",2004,"13,930","12,971",959,6.9
CN4814900000000,48,149,"Fayette County, TX",2004,"12,091","11,596",495,4.1
CN4815100000000,48,151,"Fisher County, TX",2004,"2,114","2,008",106,5
CN4815300000000,48,153,"Floyd County, TX",2004,"3,487","3,262",225,6.5
CN4815500000000,48,155,"Foard County, TX",2004,737,692,45,6.1
CN4815700000000,48,157,"Fort Bend County, TX",2004,"224,488","212,229","12,259",5.5
CN4815900000000,48,159,"Franklin County, TX",2004,"5,163","4,929",234,4.5
CN4816100000000,48,161,"Freestone County, TX",2004,"9,792","9,327",465,4.7
CN4816300000000,48,163,"Frio County, TX",2004,"6,489","6,038",451,7
CN4816500000000,48,165,"Gaines County, TX",2004,"6,619","6,289",330,5
CN4816700000000,48,167,"Galveston County, TX",2004,"136,302","127,098","9,204",6.8
CN4816900000000,48,169,"Garza County, TX",2004,"2,326","2,202",124,5.3
CN4817100000000,48,171,"Gillespie County, TX",2004,"12,189","11,735",454,3.7
CN4817300000000,48,173,"Glasscock County, TX",2004,679,653,26,3.8
CN4817500000000,48,175,"Goliad County, TX",2004,"3,344","3,158",186,5.6
CN4817700000000,48,177,"Gonzales County, TX",2004,"9,795","9,346",449,4.6
CN4817900000000,48,179,"Gray County, TX",2004,"10,405","9,876",529,5.1
CN4818100000000,48,181,"Grayson County, TX",2004,"56,897","53,431","3,466",6.1
CN4818300000000,48,183,"Gregg County, TX",2004,"59,950","56,477","3,473",5.8
CN4818500000000,48,185,"Grimes County, TX",2004,"10,295","9,581",714,6.9
CN4818700000000,48,187,"Guadalupe County, TX",2004,"49,907","47,495","2,412",4.8
CN4818900000000,48,189,"Hale County, TX",2004,"17,302","16,283","1,019",5.9
CN4819100000000,48,191,"Hall County, TX",2004,"1,659","1,551",108,6.5
CN4819300000000,48,193,"Hamilton County, TX",2004,"4,277","4,083",194,4.5
CN4819500000000,48,195,"Hansford County, TX",2004,"2,692","2,592",100,3.7
CN4819700000000,48,197,"Hardeman County, TX",2004,"2,272","2,157",115,5.1
CN4819900000000,48,199,"Hardin County, TX",2004,"24,363","22,577","1,786",7.3
CN4820100000000,48,201,"Harris County, TX",2004,"1,805,276","1,693,835","111,441",6.2
CN4820300000000,48,203,"Harrison County, TX",2004,"31,257","29,489","1,768",5.7
CN4820500000000,48,205,"Hartley County, TX",2004,"2,421","2,330",91,3.8
CN4820700000000,48,207,"Haskell County, TX",2004,"3,203","3,064",139,4.3
CN4820900000000,48,209,"Hays County, TX",2004,"64,411","61,133","3,278",5.1
CN4821100000000,48,211,"Hemphill County, TX",2004,"2,328","2,254",74,3.2
CN4821300000000,48,213,"Henderson County, TX",2004,"34,969","32,840","2,129",6.1
CN4821500000000,48,215,"Hidalgo County, TX",2004,"254,273","231,420","22,853",9
CN4821700000000,48,217,"Hill County, TX",2004,"15,370","14,374",996,6.5
CN4821900000000,48,219,"Hockley County, TX",2004,"11,287","10,745",542,4.8
CN4822100000000,48,221,"Hood County, TX",2004,"22,538","21,208","1,330",5.9
CN4822300000000,48,223,"Hopkins County, TX",2004,"17,067","16,176",891,5.2
CN4822500000000,48,225,"Houston County, TX",2004,"9,388","8,752",636,6.8
CN4822700000000,48,227,"Howard County, TX",2004,"13,730","12,949",781,5.7
CN4822900000000,48,229,"Hudspeth County, TX",2004,"1,353","1,265",88,6.5
CN4823100000000,48,231,"Hunt County, TX",2004,"38,360","36,080","2,280",5.9
CN4823300000000,48,233,"Hutchinson County, TX",2004,"10,528","9,871",657,6.2
CN4823500000000,48,235,"Irion County, TX",2004,950,908,42,4.4
CN4823700000000,48,237,"Jack County, TX",2004,"3,913","3,720",193,4.9
CN4823900000000,48,239,"Jackson County, TX",2004,"6,709","6,323",386,5.8
CN4824100000000,48,241,"Jasper County, TX",2004,"15,781","14,389","1,392",8.8
CN4824300000000,48,243,"Jeff Davis County, TX",2004,"1,311","1,262",49,3.7
CN4824500000000,48,245,"Jefferson County, TX",2004,"111,850","102,830","9,020",8.1
CN4824700000000,48,247,"Jim Hogg County, TX",2004,"2,562","2,437",125,4.9
CN4824900000000,48,249,"Jim Wells County, TX",2004,"19,684","18,434","1,250",6.4
CN4825100000000,48,251,"Johnson County, TX",2004,"71,219","67,068","4,151",5.8
CN4825300000000,48,253,"Jones County, TX",2004,"7,933","7,469",464,5.8
CN4825500000000,48,255,"Karnes County, TX",2004,"5,613","5,233",380,6.8
CN4825700000000,48,257,"Kaufman County, TX",2004,"41,772","39,014","2,758",6.6
CN4825900000000,48,259,"Kendall County, TX",2004,"13,685","13,056",629,4.6
CN4826100000000,48,261,"Kenedy County, TX",2004,239,229,10,4.2
CN4826300000000,48,263,"Kent County, TX",2004,486,464,22,4.5
CN4826500000000,48,265,"Kerr County, TX",2004,"21,588","20,580","1,008",4.7
CN4826700000000,48,267,"Kimble County, TX",2004,"2,239","2,143",96,4.3
CN4826900000000,48,269,"King County, TX",2004,214,207,7,3.3
CN4827100000000,48,271,"Kinney County, TX",2004,"1,470","1,376",94,6.4
CN4827300000000,48,273,"Kleberg County, TX",2004,"15,975","15,090",885,5.5
CN4827500000000,48,275,"Knox County, TX",2004,"1,945","1,843",102,5.2
CN4827700000000,48,277,"Lamar County, TX",2004,"23,439","21,947","1,492",6.4
CN4827900000000,48,279,"Lamb County, TX",2004,"7,471","7,049",422,5.6
CN4828100000000,48,281,"Lampasas County, TX",2004,"10,342","9,878",464,4.5
CN4828300000000,48,283,"La Salle County, TX",2004,"2,342","2,188",154,6.6
CN4828500000000,48,285,"Lavaca County, TX",2004,"10,214","9,850",364,3.6
CN4828700000000,48,287,"Lee County, TX",2004,"8,740","8,340",400,4.6
CN4828900000000,48,289,"Leon County, TX",2004,"7,705","7,227",478,6.2
CN4829100000000,48,291,"Liberty County, TX",2004,"31,833","29,056","2,777",8.7
CN4829300000000,48,293,"Limestone County, TX",2004,"10,497","9,943",554,5.3
CN4829500000000,48,295,"Lipscomb County, TX",2004,"1,729","1,668",61,3.5
CN4829700000000,48,297,"Live Oak County, TX",2004,"5,087","4,830",257,5.1
CN4829900000000,48,299,"Llano County, TX",2004,"7,936","7,481",455,5.7
CN4830100000000,48,301,"Loving County, TX",2004,58,54,4,6.9
CN4830300000000,48,303,"Lubbock County, TX",2004,"136,707","130,613","6,094",4.5
CN4830500000000,48,305,"Lynn County, TX",2004,"2,990","2,819",171,5.7
CN4830700000000,48,307,"McCulloch County, TX",2004,"3,863","3,625",238,6.2
CN4830900000000,48,309,"McLennan County, TX",2004,"109,975","104,145","5,830",5.3
CN4831100000000,48,311,"McMullen County, TX",2004,433,412,21,4.8
CN4831300000000,48,313,"Madison County, TX",2004,"5,035","4,730",305,6.1
CN4831500000000,48,315,"Marion County, TX",2004,"4,883","4,580",303,6.2
CN4831700000000,48,317,"Martin County, TX",2004,"2,232","2,123",109,4.9
CN4831900000000,48,319,"Mason County, TX",2004,"2,280","2,200",80,3.5
CN4832100000000,48,321,"Matagorda County, TX",2004,"17,000","15,416","1,584",9.3
CN4832300000000,48,323,"Maverick County, TX",2004,"18,651","15,908","2,743",14.7
CN4832500000000,48,325,"Medina County, TX",2004,"19,154","18,100","1,054",5.5
CN4832700000000,48,327,"Menard County, TX",2004,"1,145","1,081",64,5.6
CN4832900000000,48,329,"Midland County, TX",2004,"63,962","61,201","2,761",4.3
CN4833100000000,48,331,"Milam County, TX",2004,"11,840","11,152",688,5.8
CN4833300000000,48,333,"Mills County, TX",2004,"2,693","2,582",111,4.1
CN4833500000000,48,335,"Mitchell County, TX",2004,"3,444","3,203",241,7
CN4833700000000,48,337,"Montague County, TX",2004,"9,627","9,130",497,5.2
CN4833900000000,48,339,"Montgomery County, TX",2004,"181,827","172,362","9,465",5.2
CN4834100000000,48,341,"Moore County, TX",2004,"10,350","9,913",437,4.2
CN4834300000000,48,343,"Morris County, TX",2004,"5,991","5,545",446,7.4
CN4834500000000,48,345,"Motley County, TX",2004,702,670,32,4.6
CN4834700000000,48,347,"Nacogdoches County, TX",2004,"31,596","29,906","1,690",5.3
CN4834900000000,48,349,"Navarro County, TX",2004,"21,410","20,012","1,398",6.5
CN4835100000000,48,351,"Newton County, TX",2004,"5,895","5,271",624,10.6
CN4835300000000,48,353,"Nolan County, TX",2004,"7,586","7,182",404,5.3
CN4835500000000,48,355,"Nueces County, TX",2004,"156,366","146,986","9,380",6
CN4835700000000,48,357,"Ochiltree County, TX",2004,"4,925","4,756",169,3.4
CN4835900000000,48,359,"Oldham County, TX",2004,"1,157","1,112",45,3.9
CN4836100000000,48,361,"Orange County, TX",2004,"40,826","37,285","3,541",8.7
CN4836300000000,48,363,"Palo Pinto County, TX",2004,"13,626","12,903",723,5.3
CN4836500000000,48,365,"Panola County, TX",2004,"11,317","10,681",636,5.6
CN4836700000000,48,367,"Parker County, TX",2004,"49,545","47,007","2,538",5.1
CN4836900000000,48,369,"Parmer County, TX",2004,"4,849","4,631",218,4.5
CN4837100000000,48,371,"Pecos County, TX",2004,"7,114","6,695",419,5.9
CN4837300000000,48,373,"Polk County, TX",2004,"17,309","16,078","1,231",7.1
CN4837500000000,48,375,"Potter County, TX",2004,"57,194","54,067","3,127",5.5
CN4837700000000,48,377,"Presidio County, TX",2004,"3,512","3,016",496,14.1
CN4837900000000,48,379,"Rains County, TX",2004,"4,884","4,581",303,6.2
CN4838100000000,48,381,"Randall County, TX",2004,"65,375","63,302","2,073",3.2
CN4838300000000,48,383,"Reagan County, TX",2004,"1,924","1,862",62,3.2
CN4838500000000,48,385,"Real County, TX",2004,"1,387","1,315",72,5.2
CN4838700000000,48,387,"Red River County, TX",2004,"6,446","6,020",426,6.6
CN4838900000000,48,389,"Reeves County, TX",2004,"4,385","4,012",373,8.5
CN4839100000000,48,391,"Refugio County, TX",2004,"3,930","3,722",208,5.3
CN4839300000000,48,393,"Roberts County, TX",2004,536,515,21,3.9
CN4839500000000,48,395,"Robertson County, TX",2004,"7,453","7,055",398,5.3
CN4839700000000,48,397,"Rockwall County, TX",2004,"30,244","28,672","1,572",5.2
CN4839900000000,48,399,"Runnels County, TX",2004,"4,843","4,603",240,5
CN4840100000000,48,401,"Rusk County, TX",2004,"22,492","21,222","1,270",5.6
CN4840300000000,48,403,"Sabine County, TX",2004,"3,762","3,341",421,11.2
CN4840500000000,48,405,"San Augustine County, TX",2004,"3,806","3,540",266,7
CN4840700000000,48,407,"San Jacinto County, TX",2004,"10,075","9,429",646,6.4
CN4840900000000,48,409,"San Patricio County, TX",2004,"29,412","27,180","2,232",7.6
CN4841100000000,48,411,"San Saba County, TX",2004,"2,761","2,617",144,5.2
CN4841300000000,48,413,"Schleicher County, TX",2004,"1,442","1,387",55,3.8
CN4841500000000,48,415,"Scurry County, TX",2004,"7,212","6,825",387,5.4
CN4841700000000,48,417,"Shackelford County, TX",2004,"2,058","1,994",64,3.1
CN4841900000000,48,419,"Shelby County, TX",2004,"12,175","11,431",744,6.1
CN4842100000000,48,421,"Sherman County, TX",2004,"1,580","1,524",56,3.5
CN4842300000000,48,423,"Smith County, TX",2004,"94,369","89,387","4,982",5.3
CN4842500000000,48,425,"Somervell County, TX",2004,"3,723","3,520",203,5.5
CN4842700000000,48,427,"Starr County, TX",2004,"21,337","18,286","3,051",14.3
CN4842900000000,48,429,"Stephens County, TX",2004,"4,233","4,021",212,5
CN4843100000000,48,431,"Sterling County, TX",2004,882,853,29,3.3
CN4843300000000,48,433,"Stonewall County, TX",2004,852,815,37,4.3
CN4843500000000,48,435,"Sutton County, TX",2004,"2,588","2,513",75,2.9
CN4843700000000,48,437,"Swisher County, TX",2004,"3,882","3,672",210,5.4
CN4843900000000,48,439,"Tarrant County, TX",2004,"829,589","783,919","45,670",5.5
CN4844100000000,48,441,"Taylor County, TX",2004,"64,786","61,854","2,932",4.5
CN4844300000000,48,443,"Terrell County, TX",2004,417,392,25,6
CN4844500000000,48,445,"Terry County, TX",2004,"5,705","5,349",356,6.2
CN4844700000000,48,447,"Throckmorton County, TX",2004,978,940,38,3.9
CN4844900000000,48,449,"Titus County, TX",2004,"14,784","14,050",734,5
CN4845100000000,48,451,"Tom Green County, TX",2004,"52,101","49,659","2,442",4.7
CN4845300000000,48,453,"Travis County, TX",2004,"492,613","467,543","25,070",5.1
CN4845500000000,48,455,"Trinity County, TX",2004,"5,977","5,564",413,6.9
CN4845700000000,48,457,"Tyler County, TX",2004,"8,524","7,842",682,8
CN4845900000000,48,459,"Upshur County, TX",2004,"18,383","17,343","1,040",5.7
CN4846100000000,48,461,"Upton County, TX",2004,"1,562","1,489",73,4.7
CN4846300000000,48,463,"Uvalde County, TX",2004,"12,089","11,245",844,7
CN4846500000000,48,465,"Val Verde County, TX",2004,"19,658","18,271","1,387",7.1
CN4846700000000,48,467,"Van Zandt County, TX",2004,"24,971","23,622","1,349",5.4
CN4846900000000,48,469,"Victoria County, TX",2004,"43,302","41,052","2,250",5.2
CN4847100000000,48,471,"Walker County, TX",2004,"26,132","24,580","1,552",5.9
CN4847300000000,48,473,"Waller County, TX",2004,"15,891","14,907",984,6.2
CN4847500000000,48,475,"Ward County, TX",2004,"4,385","4,103",282,6.4
CN4847700000000,48,477,"Washington County, TX",2004,"15,888","15,093",795,5
CN4847900000000,48,479,"Webb County, TX",2004,"83,109","77,585","5,524",6.6
CN4848100000000,48,481,"Wharton County, TX",2004,"21,401","20,198","1,203",5.6
CN4848300000000,48,483,"Wheeler County, TX",2004,"2,795","2,689",106,3.8
CN4848500000000,48,485,"Wichita County, TX",2004,"62,691","59,474","3,217",5.1
CN4848700000000,48,487,"Wilbarger County, TX",2004,"7,407","7,088",319,4.3
CN4848900000000,48,489,"Willacy County, TX",2004,"7,385","6,557",828,11.2
CN4849100000000,48,491,"Williamson County, TX",2004,"170,837","162,914","7,923",4.6
CN4849300000000,48,493,"Wilson County, TX",2004,"17,301","16,433",868,5
CN4849500000000,48,495,"Winkler County, TX",2004,"3,072","2,886",186,6.1
CN4849700000000,48,497,"Wise County, TX",2004,"27,104","25,711","1,393",5.1
CN4849900000000,48,499,"Wood County, TX",2004,"17,433","16,376","1,057",6.1
CN4850100000000,48,501,"Yoakum County, TX",2004,"3,311","3,144",167,5
CN4850300000000,48,503,"Young County, TX",2004,"9,011","8,550",461,5.1
CN4850500000000,48,505,"Zapata County, TX",2004,"4,886","4,533",353,7.2
CN4850700000000,48,507,"Zavala County, TX",2004,"4,014","3,516",498,12.4
CN4800100000000,48,1,"Anderson County, TX",2005,"20,015","18,753","1,262",6.3
CN4800300000000,48,3,"Andrews County, TX",2005,"6,337","6,082",255,4
CN4800500000000,48,5,"Angelina County, TX",2005,"39,283","37,137","2,146",5.5
CN4800700000000,48,7,"Aransas County, TX",2005,"10,964","10,363",601,5.5
CN4800900000000,48,9,"Archer County, TX",2005,"5,289","5,105",184,3.5
CN4801100000000,48,11,"Armstrong County, TX",2005,"1,123","1,079",44,3.9
CN4801300000000,48,13,"Atascosa County, TX",2005,"19,011","18,014",997,5.2
CN4801500000000,48,15,"Austin County, TX",2005,"12,797","12,216",581,4.5
CN4801700000000,48,17,"Bailey County, TX",2005,"3,234","3,059",175,5.4
CN4801900000000,48,19,"Bandera County, TX",2005,"9,665","9,230",435,4.5
CN4802100000000,48,21,"Bastrop County, TX",2005,"33,653","31,948","1,705",5.1
CN4802300000000,48,23,"Baylor County, TX",2005,"1,863","1,774",89,4.8
CN4802500000000,48,25,"Bee County, TX",2005,"11,054","10,267",787,7.1
CN4802700000000,48,27,"Bell County, TX",2005,"114,094","108,380","5,714",5
CN4802900000000,48,29,"Bexar County, TX",2005,"714,126","677,680","36,446",5.1
CN4803100000000,48,31,"Blanco County, TX",2005,"4,691","4,500",191,4.1
CN4803300000000,48,33,"Borden County, TX",2005,457,440,17,3.7
CN4803500000000,48,35,"Bosque County, TX",2005,"8,387","7,959",428,5.1
CN4803700000000,48,37,"Bowie County, TX",2005,"42,168","39,885","2,283",5.4
CN4803900000000,48,39,"Brazoria County, TX",2005,"133,540","125,868","7,672",5.7
CN4804100000000,48,41,"Brazos County, TX",2005,"86,694","83,047","3,647",4.2
CN4804300000000,48,43,"Brewster County, TX",2005,"5,249","5,052",197,3.8
CN4804500000000,48,45,"Briscoe County, TX",2005,716,677,39,5.4
CN4804700000000,48,47,"Brooks County, TX",2005,"3,092","2,883",209,6.8
CN4804900000000,48,49,"Brown County, TX",2005,"18,671","17,793",878,4.7
CN4805100000000,48,51,"Burleson County, TX",2005,"8,615","8,258",357,4.1
CN4805300000000,48,53,"Burnet County, TX",2005,"20,273","19,380",893,4.4
CN4805500000000,48,55,"Caldwell County, TX",2005,"15,967","15,117",850,5.3
CN4805700000000,48,57,"Calhoun County, TX",2005,"9,347","8,805",542,5.8
CN4805900000000,48,59,"Callahan County, TX",2005,"6,993","6,708",285,4.1
CN4806100000000,48,61,"Cameron County, TX",2005,"140,218","129,543","10,675",7.6
CN4806300000000,48,63,"Camp County, TX",2005,"5,374","5,064",310,5.8
CN4806500000000,48,65,"Carson County, TX",2005,"3,489","3,352",137,3.9
CN4806700000000,48,67,"Cass County, TX",2005,"13,340","12,512",828,6.2
CN4806900000000,48,69,"Castro County, TX",2005,"3,387","3,201",186,5.5
CN4807100000000,48,71,"Chambers County, TX",2005,"13,984","13,123",861,6.2
CN4807300000000,48,73,"Cherokee County, TX",2005,"20,580","19,430","1,150",5.6
CN4807500000000,48,75,"Childress County, TX",2005,"3,069","2,896",173,5.6
CN4807700000000,48,77,"Clay County, TX",2005,"6,476","6,230",246,3.8
CN4807900000000,48,79,"Cochran County, TX",2005,"1,550","1,462",88,5.7
CN4808100000000,48,81,"Coke County, TX",2005,"1,372","1,296",76,5.5
CN4808300000000,48,83,"Coleman County, TX",2005,"4,319","4,120",199,4.6
CN4808500000000,48,85,"Collin County, TX",2005,"367,439","350,325","17,114",4.7
CN4808700000000,48,87,"Collingsworth County, TX",2005,"1,625","1,553",72,4.4
CN4808900000000,48,89,"Colorado County, TX",2005,"10,314","9,852",462,4.5
CN4809100000000,48,91,"Comal County, TX",2005,"48,830","46,631","2,199",4.5
CN4809300000000,48,93,"Comanche County, TX",2005,"6,427","6,125",302,4.7
CN4809500000000,48,95,"Concho County, TX",2005,"1,377","1,296",81,5.9
CN4809700000000,48,97,"Cooke County, TX",2005,"19,868","19,025",843,4.2
CN4809900000000,48,99,"Coryell County, TX",2005,"25,361","23,789","1,572",6.2
CN4810100000000,48,101,"Cottle County, TX",2005,822,776,46,5.6
CN4810300000000,48,103,"Crane County, TX",2005,"1,578","1,498",80,5.1
CN4810500000000,48,105,"Crockett County, TX",2005,"2,036","1,961",75,3.7
CN4810700000000,48,107,"Crosby County, TX",2005,"2,923","2,765",158,5.4
CN4810900000000,48,109,"Culberson County, TX",2005,"1,648","1,583",65,3.9
CN4811100000000,48,111,"Dallam County, TX",2005,"3,079","2,976",103,3.3
CN4811300000000,48,113,"Dallas County, TX",2005,"1,142,456","1,077,868","64,588",5.7
CN4811500000000,48,115,"Dawson County, TX",2005,"5,170","4,817",353,6.8
CN4811700000000,48,117,"Deaf Smith County, TX",2005,"8,330","7,943",387,4.6
CN4811900000000,48,119,"Delta County, TX",2005,"2,412","2,279",133,5.5
CN4812100000000,48,121,"Denton County, TX",2005,"314,097","299,695","14,402",4.6
CN4812300000000,48,123,"DeWitt County, TX",2005,"9,338","8,907",431,4.6
CN4812500000000,48,125,"Dickens County, TX",2005,"1,076","1,020",56,5.2
CN4812700000000,48,127,"Dimmit County, TX",2005,"3,813","3,500",313,8.2
CN4812900000000,48,129,"Donley County, TX",2005,"1,835","1,745",90,4.9
CN4813100000000,48,131,"Duval County, TX",2005,"5,249","4,926",323,6.2
CN4813300000000,48,133,"Eastland County, TX",2005,"8,491","8,050",441,5.2
CN4813500000000,48,135,"Ector County, TX",2005,"62,285","59,458","2,827",4.5
CN4813700000000,48,137,"Edwards County, TX",2005,"1,027",986,41,4
CN4813900000000,48,139,"Ellis County, TX",2005,"66,297","62,763","3,534",5.3
CN4814100000000,48,141,"El Paso County, TX",2005,"290,010","269,570","20,440",7
CN4814300000000,48,143,"Erath County, TX",2005,"17,496","16,774",722,4.1
CN4814500000000,48,145,"Falls County, TX",2005,"7,276","6,826",450,6.2
CN4814700000000,48,147,"Fannin County, TX",2005,"13,803","12,921",882,6.4
CN4814900000000,48,149,"Fayette County, TX",2005,"11,997","11,529",468,3.9
CN4815100000000,48,151,"Fisher County, TX",2005,"2,028","1,942",86,4.2
CN4815300000000,48,153,"Floyd County, TX",2005,"3,255","3,069",186,5.7
CN4815500000000,48,155,"Foard County, TX",2005,686,653,33,4.8
CN4815700000000,48,157,"Fort Bend County, TX",2005,"235,000","222,687","12,313",5.2
CN4815900000000,48,159,"Franklin County, TX",2005,"5,137","4,888",249,4.8
CN4816100000000,48,161,"Freestone County, TX",2005,"10,010","9,586",424,4.2
CN4816300000000,48,163,"Frio County, TX",2005,"6,371","5,986",385,6
CN4816500000000,48,165,"Gaines County, TX",2005,"6,223","5,926",297,4.8
CN4816700000000,48,167,"Galveston County, TX",2005,"137,734","129,836","7,898",5.7
CN4816900000000,48,169,"Garza County, TX",2005,"2,399","2,292",107,4.5
CN4817100000000,48,171,"Gillespie County, TX",2005,"12,746","12,315",431,3.4
CN4817300000000,48,173,"Glasscock County, TX",2005,637,613,24,3.8
CN4817500000000,48,175,"Goliad County, TX",2005,"3,397","3,234",163,4.8
CN4817700000000,48,177,"Gonzales County, TX",2005,"9,632","9,233",399,4.1
CN4817900000000,48,179,"Gray County, TX",2005,"10,824","10,367",457,4.2
CN4818100000000,48,181,"Grayson County, TX",2005,"56,416","53,380","3,036",5.4
CN4818300000000,48,183,"Gregg County, TX",2005,"60,526","57,558","2,968",4.9
CN4818500000000,48,185,"Grimes County, TX",2005,"10,229","9,606",623,6.1
CN4818700000000,48,187,"Guadalupe County, TX",2005,"51,700","49,318","2,382",4.6
CN4818900000000,48,189,"Hale County, TX",2005,"16,756","15,865",891,5.3
CN4819100000000,48,191,"Hall County, TX",2005,"1,585","1,493",92,5.8
CN4819300000000,48,193,"Hamilton County, TX",2005,"3,958","3,775",183,4.6
CN4819500000000,48,195,"Hansford County, TX",2005,"2,472","2,384",88,3.6
CN4819700000000,48,197,"Hardeman County, TX",2005,"2,292","2,189",103,4.5
CN4819900000000,48,199,"Hardin County, TX",2005,"24,619","22,996","1,623",6.6
CN4820100000000,48,201,"Harris County, TX",2005,"1,823,699","1,719,989","103,710",5.7
CN4820300000000,48,203,"Harrison County, TX",2005,"31,118","29,386","1,732",5.6
CN4820500000000,48,205,"Hartley County, TX",2005,"2,276","2,187",89,3.9
CN4820700000000,48,207,"Haskell County, TX",2005,"3,147","3,028",119,3.8
CN4820900000000,48,209,"Hays County, TX",2005,"67,038","63,996","3,042",4.5
CN4821100000000,48,211,"Hemphill County, TX",2005,"2,251","2,186",65,2.9
CN4821300000000,48,213,"Henderson County, TX",2005,"34,466","32,483","1,983",5.8
CN4821500000000,48,215,"Hidalgo County, TX",2005,"260,575","239,969","20,606",7.9
CN4821700000000,48,217,"Hill County, TX",2005,"15,349","14,389",960,6.3
CN4821900000000,48,219,"Hockley County, TX",2005,"11,049","10,554",495,4.5
CN4822100000000,48,221,"Hood County, TX",2005,"22,525","21,350","1,175",5.2
CN4822300000000,48,223,"Hopkins County, TX",2005,"17,449","16,650",799,4.6
CN4822500000000,48,225,"Houston County, TX",2005,"8,494","7,945",549,6.5
CN4822700000000,48,227,"Howard County, TX",2005,"13,311","12,602",709,5.3
CN4822900000000,48,229,"Hudspeth County, TX",2005,"1,328","1,236",92,6.9
CN4823100000000,48,231,"Hunt County, TX",2005,"38,516","36,412","2,104",5.5
CN4823300000000,48,233,"Hutchinson County, TX",2005,"10,189","9,670",519,5.1
CN4823500000000,48,235,"Irion County, TX",2005,957,923,34,3.6
CN4823700000000,48,237,"Jack County, TX",2005,"4,078","3,889",189,4.6
CN4823900000000,48,239,"Jackson County, TX",2005,"6,625","6,299",326,4.9
CN4824100000000,48,241,"Jasper County, TX",2005,"15,584","14,330","1,254",8
CN4824300000000,48,243,"Jeff Davis County, TX",2005,"1,203","1,156",47,3.9
CN4824500000000,48,245,"Jefferson County, TX",2005,"111,553","102,875","8,678",7.8
CN4824700000000,48,247,"Jim Hogg County, TX",2005,"2,616","2,491",125,4.8
CN4824900000000,48,249,"Jim Wells County, TX",2005,"19,753","18,664","1,089",5.5
CN4825100000000,48,251,"Johnson County, TX",2005,"72,108","68,540","3,568",4.9
CN4825300000000,48,253,"Jones County, TX",2005,"7,869","7,446",423,5.4
CN4825500000000,48,255,"Karnes County, TX",2005,"5,437","5,092",345,6.3
CN4825700000000,48,257,"Kaufman County, TX",2005,"43,006","40,644","2,362",5.5
CN4825900000000,48,259,"Kendall County, TX",2005,"14,298","13,703",595,4.2
CN4826100000000,48,261,"Kenedy County, TX",2005,248,241,7,2.8
CN4826300000000,48,263,"Kent County, TX",2005,440,422,18,4.1
CN4826500000000,48,265,"Kerr County, TX",2005,"22,578","21,655",923,4.1
CN4826700000000,48,267,"Kimble County, TX",2005,"2,264","2,171",93,4.1
CN4826900000000,48,269,"King County, TX",2005,167,160,7,4.2
CN4827100000000,48,271,"Kinney County, TX",2005,"1,439","1,352",87,6
CN4827300000000,48,273,"Kleberg County, TX",2005,"16,308","15,469",839,5.1
CN4827500000000,48,275,"Knox County, TX",2005,"1,789","1,704",85,4.8
CN4827700000000,48,277,"Lamar County, TX",2005,"22,980","21,551","1,429",6.2
CN4827900000000,48,279,"Lamb County, TX",2005,"7,213","6,861",352,4.9
CN4828100000000,48,281,"Lampasas County, TX",2005,"9,922","9,492",430,4.3
